year,round,match_no,date_local,kickoff_local,venue_stadium,venue_city,home_team,away_team,home_score,away_score,went_to_extra_time,attendance,yellow_cards,red_cards,fouls,source_url,goals,substitutions,injuries_or_cooling
2018,Group A,1,2018-06-14,18:00,Luzhniki Stadium,Moscow,Russia,Saudi Arabia,5,0,False,78011,2,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_A,5,,Alan Dzagoev (Russia) substituted off with a hamstring injury in the 24th minute
2018,Group A,2,2018-06-15,17:00,Yekaterinburg Arena,Yekaterinburg,Egypt,Uruguay,0,1,False,27015,2,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_A,1,,
2018,Group B,3,2018-06-15,18:00,Saint Petersburg Stadium,Saint Petersburg,Morocco,Iran,0,1,False,62548,4,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_B,1,,
2018,Group B,4,2018-06-15,21:00,Fisht Olympic Stadium,Sochi,Portugal,Spain,3,3,False,43866,2,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_B,6,,
2018,Group C,5,2018-06-16,13:00,Kazan Arena,Kazan,France,Australia,2,1,False,41279,4,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_C,3,,First World Cup penalty awarded via VAR (Griezmann)
2018,Group D,6,2018-06-16,16:00,Otkritie Arena,Moscow,Argentina,Iceland,1,1,False,44190,0,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_D,2,,Messi missed a penalty
2018,Group C,7,2018-06-16,19:00,Mordovia Arena,Saransk,Peru,Denmark,0,1,False,40502,3,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_C,1,,
2018,Group D,8,2018-06-16,21:00,Kaliningrad Stadium,Kaliningrad,Croatia,Nigeria,2,0,False,31136,3,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_D,2,,
2018,Group E,9,2018-06-17,16:00,Samara Arena,Samara,Costa Rica,Serbia,0,1,False,41432,4,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_E,1,,
2018,Group F,10,2018-06-17,18:00,Luzhniki Stadium,Moscow,Germany,Mexico,0,1,False,78011,4,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_F,1,,
2018,Group E,11,2018-06-17,21:00,Rostov Arena,Rostov-on-Don,Brazil,Switzerland,1,1,False,43109,4,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_E,2,,
2018,Group F,12,2018-06-18,15:00,Nizhny Novgorod Stadium,Nizhny Novgorod,Sweden,South Korea,1,0,False,42300,3,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_F,1,,
2018,Group G,13,2018-06-18,18:00,Fisht Olympic Stadium,Sochi,Belgium,Panama,3,0,False,43257,8,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_G,3,,
2018,Group G,14,2018-06-18,21:00,Volgograd Arena,Volgograd,Tunisia,England,1,2,False,41064,1,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_G,3,,Played in Volgograd; Kane scored a stoppage-time winner
2018,Group H,15,2018-06-19,15:00,Mordovia Arena,Saransk,Colombia,Japan,1,2,False,40842,3,1,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_H,3,,Carlos Sanchez (Colombia) shown a straight red for a deliberate handball in the 3rd minute
2018,Group H,16,2018-06-19,18:00,Otkritie Arena,Moscow,Poland,Senegal,1,2,False,44190,3,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_H,3,,
2018,Group A,17,2018-06-19,21:00,Saint Petersburg Stadium,Saint Petersburg,Russia,Egypt,3,1,False,64468,2,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_A,4,,
2018,Group B,18,2018-06-20,15:00,Luzhniki Stadium,Moscow,Portugal,Morocco,1,0,False,78011,2,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_B,1,,
2018,Group A,19,2018-06-20,18:00,Rostov Arena,Rostov-on-Don,Uruguay,Saudi Arabia,1,0,False,42678,0,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_A,1,,Played in hot conditions at the Rostov Arena
2018,Group B,20,2018-06-20,21:00,Kazan Arena,Kazan,Iran,Spain,0,1,False,42718,2,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_B,1,,
2018,Group C,21,2018-06-21,16:00,Samara Arena,Samara,Denmark,Australia,1,1,False,40727,2,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_C,2,,
2018,Group C,22,2018-06-21,20:00,Yekaterinburg Arena,Yekaterinburg,France,Peru,1,0,False,32789,4,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_C,1,,
2018,Group D,23,2018-06-21,21:00,Nizhny Novgorod Stadium,Nizhny Novgorod,Argentina,Croatia,0,3,False,43319,7,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_D,3,,
2018,Group E,24,2018-06-22,15:00,Saint Petersburg Stadium,Saint Petersburg,Brazil,Costa Rica,2,0,False,64468,3,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_E,2,,
2018,Group D,25,2018-06-22,18:00,Volgograd Arena,Volgograd,Nigeria,Iceland,2,0,False,40904,1,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_D,2,,
2018,Group E,26,2018-06-22,20:00,Kaliningrad Stadium,Kaliningrad,Serbia,Switzerland,1,2,False,33167,5,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_E,3,,
2018,Group G,27,2018-06-23,15:00,Otkritie Arena,Moscow,Belgium,Tunisia,5,2,False,44190,1,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_G,7,,
2018,Group F,28,2018-06-23,18:00,Rostov Arena,Rostov-on-Don,South Korea,Mexico,1,2,False,43472,4,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_F,3,,
2018,Group F,29,2018-06-23,21:00,Fisht Olympic Stadium,Sochi,Germany,Sweden,2,1,False,44287,2,1,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_F,3,,Jerome Boateng (Germany) sent off for a second yellow in the 82nd minute; Kroos scored a stoppage-time winner
